Nr	Data Type	File Format	DataKind
1	Computation notebook	NB	.nb (Mathematica notebook)
2	Macromolecule structure	PDB	.pdb (chemical)
3	(La)TeX source	TEX	.tex can also be supplied
4	Virtual reality scene	WRL	.wrl (VRML)
5	Crystal Scattering data	CIF, HKL (SHELIX), MTZ	1/d2 values should be listed (exclusive of systematic absences) (crystall scattering data – S.G.)
6	NMR chemical shifts	numbers	13C NMR
7	NMR chemical shifts	numbers	13C chemical shifts to one digit after the decimal point, unless an additional digit will help distinguish overlapping peaks
8	NMR chemical shifts	numbers	1H NMR
9	NMR chemical shifts	numbers	1H NMR chemical shifts to two digits after the decimal point
10	NMR chemical shifts	numbers	1H NMR data recorded in C6D6 listed as “residual internal C6D5H (δ 7.15)” (as an example)
11	NMR chemical shifts	numbers	1H NMR spectrum; peaks should be integrated
12	Computations	numbers, parameters, workflows	A description of the results of any published calculation must be available for scientific scrutiny by other investigators
13	Spectra	graph	A representation of the compound should be included on the spectrum — please use ChemDraw or a related program
14	Compound purity	number	Adequate evidence to firmly establish both identity and purity should be provided
15	Crystal structure	CIF	Along with crystallographic data (cell parameters, space group, etc.), in the experimental part, authors should specify the device with which the measurements were performed and the methods (programs) used for decrypting structures and for calculations
16	Chemical data	SMILES, numbers	An Article should list for each structure the formula, formula weight, crystal system, space group, color of crystal, unit cell parameters, temperature of data collection, and values of Z, R, and GOF
17	Computations	source code, workflows	An adequate specification of the computer program used to carry out the calculations
18	IR Spectra	numbers	An example of such a description is as follows. IR spectrum, ν, cm –1 : 3350 br (NH, NOH), 2100 o.s (C≡N), 1700–1600 s (C=O, C=N)
19	Compound characterisation	numbers (?)	Antibodies:
20	Software	source code	Any program modifications and any differences from the published version (including changes in parameters) must be fully described or available to other investigators upon request
21	Crystal structure	CIF	Any set of atomic coordinates referred to in the manuscript, including atomic coordinates and structure factors for proteins determined by X-ray crystallography and coordinates determined by NMR, should be deposited with the Protein Data Bank, Research Collaboratory for Structural Bioinformatics at Rutgers University whenever appropriate
22	Crystal structure	CIF	Any subsequent revisions to the CIFs or structure factor tables should be deposited directly with the CCDC before resubmitting the manuscript in ACS Paragon Plus
23	NMR chemical shifts	numbers	Assign peak identities under the following circumstances: non-decoupled or equivalent spectra have been collected (13C, 31P, etc.)
24	NMR chemical shifts	numbers	At minimum, the spectral window should be ‒1 ppm to 9 ppm for 1H NMR and ‒10 ppm to 180 ppm for 13C NMR
25	Environmental data	numbers, images	Atmospheric and earth observation research, environmental data
26	Chemical data	formulae, SMILES, numbers	Atom ratios as determined by, for example, microprobe analysis of selected elements may be sufficient for this purpose  (d) Compounds that have not been isolated  Compounds that have not been isolated in pure form (e.g
27	Chemical 3D models	CIF, PDB, SDF, CML	Atomic coordinates
28	Crystal Scattering data	CIF, HKL (SHELX), MTZ	Structure factors
